career,difficulty,question
AI Engineer,Easy,"What is the difference between supervised and unsupervised learning?"
AI Engineer,Easy,"Explain what overfitting is and how you can prevent it."
AI Engineer,Medium,"How does backpropagation work in a neural network?"
AI Engineer,Medium,"What are activation functions and why are ReLU and sigmoid used?"
AI Engineer,Hard,"Explain the transformer architecture and the role of self-attention."
AI Engineer,Hard,"How would you deploy and monitor a deep learning model in production?"
Data Scientist,Easy,"What is the difference between correlation and causation?"
Data Scientist,Easy,"Explain the bias-variance tradeoff."
Data Scientist,Medium,"How do you handle missing or imbalanced data in a dataset?"
Data Scientist,Medium,"What is cross-validation and why is it important?"
Data Scientist,Hard,"Walk me through how you would design an A/B test end to end."
Data Scientist,Hard,"Explain how a random forest reduces variance compared to a single tree."
Data Analyst,Easy,"What is the difference between a primary key and a foreign key?"
Data Analyst,Easy,"How would you explain a complex chart to a non-technical stakeholder?"
Data Analyst,Medium,"Write a SQL query to find the second highest salary in a table."
Data Analyst,Medium,"What is the difference between a JOIN and a UNION in SQL?"
Data Analyst,Hard,"How do you decide which visualization best represents a given dataset?"
Data Analyst,Hard,"Explain how you would build an executive KPI dashboard from raw data."
Software Developer,Easy,"What is the difference between an array and a linked list?"
Software Developer,Easy,"Explain the four pillars of object-oriented programming."
Software Developer,Medium,"What is the time complexity of binary search and how does it work?"
Software Developer,Medium,"How does a hash map work internally?"
Software Developer,Hard,"Design a data structure that supports insert, delete and getRandom in O(1)."
Software Developer,Hard,"Explain the difference between processes and threads."
Backend Developer,Easy,"What is a RESTful API and what are the main HTTP methods?"
Backend Developer,Easy,"What is the difference between SQL and NoSQL databases?"
Backend Developer,Medium,"How do you handle authentication and authorization in an API?"
Backend Developer,Medium,"What is database indexing and how does it improve performance?"
Backend Developer,Hard,"How would you design a scalable URL shortening service?"
Backend Developer,Hard,"Explain caching strategies and when you would use each one."
Frontend Developer,Easy,"What is the difference between HTML elements and attributes?"
Frontend Developer,Easy,"Explain the CSS box model."
Frontend Developer,Medium,"What is the virtual DOM and how does React use it?"
Frontend Developer,Medium,"Explain the difference between let, const and var in JavaScript."
Frontend Developer,Hard,"How do you optimize the performance of a large web application?"
Frontend Developer,Hard,"Explain how event delegation works in JavaScript."
Cyber Security Analyst,Easy,"What is the CIA triad in information security?"
Cyber Security Analyst,Easy,"What is the difference between a virus and a worm?"
Cyber Security Analyst,Medium,"Explain the difference between symmetric and asymmetric encryption."
Cyber Security Analyst,Medium,"What is a SQL injection attack and how do you prevent it?"
Cyber Security Analyst,Hard,"Walk me through the steps of a penetration test."
Cyber Security Analyst,Hard,"How would you respond to a suspected data breach?"
Cloud Engineer,Easy,"What is the difference between IaaS, PaaS and SaaS?"
Cloud Engineer,Easy,"What is the difference between a container and a virtual machine?"
Cloud Engineer,Medium,"Explain what a load balancer does and why it is used."
Cloud Engineer,Medium,"What is infrastructure as code and why is it useful?"
Cloud Engineer,Hard,"How would you design a highly available architecture on AWS?"
Cloud Engineer,Hard,"Explain a CI/CD pipeline and the stages involved."
